group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2004,unknown,37.905809,-88.107562,White,,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2004,unknown,37.90949,-88.02009,White,Wabash River,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.9129,-88.9464,Franklin,,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2004,,37.91803373,-88.10469991,White,Brashy Slough,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.9188,-88.3527,White,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.9386,-88.9421,Franklin,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.9468,-88.3405,White,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,37.974494,-88.955152,Franklin,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,37.9836,-88.3124,White,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,37.9937,-88.3286,White,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,38.0052,-88.3303,White,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,38.0358,-88.2505,White,,,,,,,,,,,,,
Crustaceans,Daphnia lumholtzi,Water Flea,1994,collected,38.0367,-88.9667,Franklin,Rend Lake,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,2009,unknown,38.036716,-88.966737,Franklin,Big Muddy River,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1997,,38.03691716,-88.96176045,Franklin,Big Muddy River,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,38.038895,-88.984679,Franklin,Rend Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,38.054426,-89.349016,Perry,,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2007,,38.0567,-88.2277,White,,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,unknown,38.07241,-89.22047,Perry,Du Quoin Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,38.079211,-89.796877,Randolph,,,,,,,,,,,,,
Fishes,Melanotaenia nigrans,Black-Banded Rainbowfish,1930,failed,38.08524,-89.948781,Randolph,Mississippi River,,,,,,,,,,,,
Mollusks,Cipangopaludina chinensis malleata,Chinese Mystery Snail,1999,,38.09225,-88.15576,White,Little Wabash River,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,collected,38.096779,-88.536242,Hamilton,,,,,,,,,,,,,
Plants,Typha angustifolia,Narrowleaf Cattail,2008,collected,38.096779,-88.536242,Hamilton,,,,,,,,,,,,,
Fishes,Hypophthalmichthys molitrix,Silver Carp,2012,unknown,38.1014,-89.00565,Franklin,Rend Lake,,,,,,,,,,,,
Plants,Rorippa sylvestris,Creeping Yellowcress,2008,collected,38.104078,-88.180096,White,,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,2012,unknown,38.1042,-89.40376,Perry,Pinckneyville Reservoir,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,38.1112,-88.9117,Franklin,Rend Lake,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2008,,38.1328,-88.9119,Jefferson,,,,,,,,,,,,,
Fishes,Ctenopharyngodon idella,Grass Carp,1999,,38.13508759,-87.97996968,White,Fox River,,,,,,,,,,,,
Fishes,Hypophthalmichthys molitrix,Silver Carp,2011,unknown,38.16185,-88.53859,Hamilton,Big Creek,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,38.173705,-89.00927,Jefferson,Rend Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,2000,,38.1839,-90.32,Monroe,Mississippi River,,,,,,,,,,,,
